Tiempo,Datos
0,1971
0.000166204065351438,1933
0.000332408130702877,1970
0.000498612196054316,2022
0.000664816261405754,2017
0.000831020326757193,1961
0.000997224392108631,1923
0.00116342845746007,1962
0.00132963252281151,2019
0.00149583658816295,2030
0.00166204065351439,1978
0.00182824471886582,1948
0.00199444878421726,1976
0.0021606528495687,2025
0.00232685691492014,2018
0.00249306098027158,1970
0.00265926504562302,1929
0.00282546911097445,1962
0.00299167317632589,2027
0.00315787724167733,2034
0.00332408130702877,1975
0.00349028537238021,1923
0.00365648943773165,1947
0.00382269350308309,1990
0.00398889756843452,2021
0.00415510163378596,1988
0.0043213056991374,1955
0.00448750976448884,1971
0.00465371382984028,1993
0.00481991789519172,1990
0.00498612196054316,1967
0.00515232602589459,1942
0.00531853009124603,1974
0.00548473415659747,2010
0.00565093822194891,2003
0.00581714228730035,1945
0.00598334635265179,1926
0.00614955041800322,1968
0.00631575448335466,2024
0.0064819585487061,2024
0.00664816261405754,1972
0.00681436667940898,1934
0.00698057074476042,1960
0.00714677481011186,2008
0.00731297887546329,2023
0.00747918294081473,1980
0.00764538700616617,1948
0.00781159107151761,1972
0.00797779513686905,2009
0.00814399920222049,2017
0.00831020326757193,1973
0.00847640733292336,1973
0.0086426113982748,1935
0.00880881546362624,1958
0.00897501952897768,2007
0.00914122359432912,2019
0.00930742765968056,1977
0.00947363172503199,1932
0.00963983579038343,1966
0.00980603985573487,2026
0.00997224392108631,2033
0.0101384479864377,1977
0.0103046520517892,1933
0.0104708561171406,1960
0.0106370601824921,2020
0.0108032642478435,2026
0.0109694683131949,1964
0.0111356723785464,1918
0.0113018764438978,1950
0.0114680805092493,2004
0.0116342845746007,2022
0.0118004886399521,1983
0.0119666927053036,1947
0.012132896770655,1971
0.0122991008360064,2005
0.0124653049013579,1996
0.0126315089667093,1951
0.0127977130320608,1934
0.0129639170974122,1996
0.0131301211627636,2048
0.0132963252281151,2034
0.0134625292934665,1960
0.013628733358818,1910
0.0137949374241694,1941
0.0139611414895208,2012
0.0141273455548723,2014
0.0142935496202237,1961
0.0144597536855751,1928
0.0146259577509266,1962
0.014792161816278,2010
0.0149583658816295,2024
0.0151245699469809,1978
0.0152907740123323,1940
0.0154569780776838,1967
0.0156231821430352,1993
0.0157893862083867,1989
0.0159555902737381,1941
0.0161217943390895,1913
0.016287998404441,1953
0.0164542024697924,2010
0.0166204065351439,2010
0.0167866106004953,1959
0.0169528146658467,1915
0.0171190187311982,1936
0.0172852227965496,2007
0.017451426861901,2029
0.0176176309272525,1981
0.0177838349926039,1942
0.0179500390579554,1956
0.0181162431233068,2002
0.0182824471886582,2009
0.0184486512540097,1960
0.0186148553193611,1936
0.0187810593847125,1973
0.018947263450064,2023
0.0191134675154154,2013
0.0192796715807669,1939
0.0194458756461183,1893
0.0196120797114697,1942
0.0197782837768212,2010
0.0199444878421726,2038
0.0201106919075241,2002
0.0202768959728755,1942
0.0204431000382269,1957
0.0206093041035784,2014
0.0207755081689298,2024
0.0209417122342813,1983
0.0211079162996327,1940
0.0212741203649841,1963
0.0214403244303356,2000
0.021606528495687,1991
0.0217727325610384,1948
0.0219389366263899,1926
0.0221051406917413,1973
0.0222713447570928,2031
0.0224375488224442,2043
0.0226037528877956,1982
0.0227699569531471,1922
0.0229361610184985,1944
0.02310236508385,1997
0.0232685691492014,2014
0.0234347732145528,1971
0.0236009772799043,1946
0.0237671813452557,1974
0.0239333854106071,2020
0.0240995894759586,2007
0.02426579354131,1947
0.0244319976066615,1906
0.0245982016720129,1959
0.0247644057373643,2028
0.0249306098027158,2020
0.0250968138680672,1965
0.0252630179334187,1918
0.0254292219987701,1953
0.0255954260641215,2009
0.025761630129473,2026
0.0259278341948244,1981
0.0260940382601758,1938
0.0262602423255273,1955
0.0264264463908787,2001
0.0265926504562302,2011
0.0267588545215816,1968
0.026925058586933,1919
0.0270912626522845,1962
0.0272574667176359,2018
0.0274236707829874,2017
0.0275898748483388,1964
0.0277560789136902,1925
0.0279222829790417,1960
0.0280884870443931,2009
0.0282546911097445,2009
0.028420895175096,1955
0.0285870992404474,1917
0.0287533033057989,1957
0.0289195073711503,2019
0.0290857114365017,2026
0.0292519155018532,1969
0.0294181195672046,1917
0.0295843236325561,1945
0.0297505276979075,2001
0.0299167317632589,2025
0.0300829358286104,1987
0.0302491398939618,1938
0.0304153439593132,1963
0.0305815480246647,2010
0.0307477520900161,2022
0.0309139561553676,1978
0.031080160220719,1943
0.0312463642860704,1978
0.0314125683514219,2017
0.0315787724167733,2014
0.0317449764821248,1957
0.0319111805474762,1928
0.0320773846128276,1974
0.0322435886781791,2031
0.0324097927435305,2035
0.0325759968088819,1977
0.0327422008742334,1936
0.0329084049395848,1963
0.0330746090049363,2016
0.0332408130702877,2020
0.0334070171356391,1967
0.0335732212009906,1932
0.033739425266342,1963
0.0339056293316935,2012
0.0340718333970449,2023
0.0342380374623963,1980
0.0344042415277478,1939
0.0345704455930992,1975
0.0347366496584506,2022
0.0349028537238021,2020
0.0350690577891535,1978
0.035235261854505,1924
0.0354014659198564,1949
0.0355676699852078,2011
0.0357338740505593,2021
0.0359000781159107,1988
0.0360662821812622,1944
0.0362324862466136,1968
0.036398690311965,2011
0.0365648943773165,2006
0.0367310984426679,1963
0.0368973025080193,1929
0.0370635065733708,1971
0.0372297106387222,2019
0.0373959147040737,2009
0.0375621187694251,1954
0.0377283228347765,1921
0.037894526900128,1961
0.0380607309654794,2031
0.0382269350308309,2053
0.0383931390961823,1981
0.0385593431615337,1923
0.0387255472268852,1947
